"№ 
п/п",Право,Физическая культура,Инженерная и компьютерная графика,История,Безопасность жизнедеятельности,Инженерная и компьютерная графика.1,История.1,Химия,Иностранный язык,Геодезия,Инженерная компьютерная графика,Информатика,Программирование и алгоритмизация,Практическая фонетика,Математика,Иностранный язык.1,Долги,Статус,Институт_ИНМиН,Институт_ИТКН,Институт_МГИ,Институт_ЭУПП им. В.А. Роменца,Институт_ЭкоТех,Учебная группа_ББИ-20-4,Учебная группа_БИВТ-20-1,Учебная группа_БИВТ-20-3,Учебная группа_БИВТ-20-5,Учебная группа_БИВТ-20-6,Учебная группа_БИВТ-20-7,Учебная группа_БИСТ-20-1,Учебная группа_БИСТ-20-2,Учебная группа_БИСТ-20-3,Учебная группа_БЛГ-20-1,Учебная группа_БЛГ-20-11,Учебная группа_БЛГ-20-12,Учебная группа_БЛГ-20-13,Учебная группа_БЛГ-20-4,Учебная группа_БЛГ-20-5,Учебная группа_БМН-20-1,Учебная группа_БМН-20-2,Учебная группа_БМН-20-3,Учебная группа_БМТ-20-1,Учебная группа_БМТ-20-2,Учебная группа_БМТМ-20-1,Учебная группа_БНМТ-20-1,Учебная группа_БПИ-20-1,Учебная группа_БПИ-20-2,Учебная группа_БПИ-20-3,Учебная группа_БПИ-20-4,Учебная группа_БПИ-20-9,Учебная группа_БПМ-20-1,Учебная группа_БПМ-20-4,Учебная группа_БТМО-20-1,Учебная группа_БТМО-20-2,Учебная группа_БФЗ-20-1,Учебная группа_БЭК-20-1,Учебная группа_БЭК-20-3,Учебная группа_БЭН-20-2,Учебная группа_БЭЭ-20-1,Учебная группа_СГД-20-1,Учебная группа_СГД-20-2,Учебная группа_СГД-20-3,Учебная группа_СГД-20-4,Учебная группа_СГД-20-5,Учебная группа_СГД-20-6,Учебная группа_СФП-20-1
1 311,0,-1,-1,1,-1,0,-1,2,2,0,-1,3,-1,-1,3,-1,4.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 312,0,-1,-1,1,-1,3,-1,2,2,0,-1,4,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 313,0,-1,-1,1,-1,3,-1,3,2,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 314,0,-1,-1,0,-1,2,-1,2,3,0,-1,3,-1,-1,2,-1,5.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 315,0,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 317,0,-1,-1,0,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 318,0,-1,-1,1,-1,4,-1,2,4,3,-1,4,-1,-1,4,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 322,0,-1,-1,1,-1,3,-1,3,3,4,-1,3,-1,-1,0,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 323,0,-1,-1,1,-1,3,-1,2,4,4,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 324,0,-1,-1,1,-1,4,-1,3,2,3,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 326,0,-1,-1,1,-1,2,-1,2,3,3,-1,4,-1,-1,4,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 327,0,-1,-1,1,-1,2,-1,2,3,4,-1,5,-1,-1,4,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1 333,0,-1,-1,1,-1,4,-1,2,3,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 335,0,-1,-1,1,-1,4,-1,2,2,4,-1,3,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 336,0,-1,-1,0,-1,0,-1,2,4,3,-1,4,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 341,0,-1,-1,1,-1,4,-1,2,3,3,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 347,0,-1,-1,1,-1,3,-1,2,3,3,-1,4,-1,-1,2,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 354,0,-1,-1,1,-1,3,-1,2,3,4,-1,4,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1 362,0,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,2,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 365,0,-1,-1,1,-1,2,-1,2,3,3,-1,3,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 368,0,-1,-1,0,-1,2,-1,2,3,3,-1,3,-1,-1,3,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 371,0,-1,-1,1,-1,3,-1,2,3,4,-1,5,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 373,0,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 375,0,-1,-1,1,-1,4,-1,2,2,3,-1,3,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 378,0,-1,-1,0,-1,0,-1,2,2,3,-1,3,-1,-1,2,-1,5.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1 385,0,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,2,-1,6.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 387,0,-1,-1,1,-1,3,-1,2,3,3,-1,0,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 390,0,-1,-1,1,-1,3,-1,2,2,3,-1,0,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 395,0,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,3,-1,2.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 399,0,-1,-1,0,-1,2,-1,2,2,0,-1,3,-1,-1,3,-1,5.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 402,0,-1,-1,1,-1,5,-1,3,2,4,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 403,0,-1,-1,0,-1,2,-1,2,2,3,-1,0,-1,-1,3,-1,5.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 404,0,-1,-1,1,-1,4,-1,2,3,4,-1,5,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1 416,0,-1,-1,0,-1,0,-1,2,2,0,-1,0,-1,-1,2,-1,7.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1 421,0,-1,-1,1,-1,0,-1,2,2,0,-1,0,-1,-1,0,-1,6.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1 424,0,-1,-1,1,-1,3,-1,2,2,3,-1,4,-1,-1,2,-1,3.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1 425,0,-1,-1,1,-1,3,-1,2,3,3,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1 429,0,-1,-1,1,-1,0,-1,3,4,3,-1,3,-1,-1,3,-1,1.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1 438,0,-1,1,1,-1,-1,-1,3,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 440,0,-1,1,0,-1,-1,-1,2,2,-1,-1,4,-1,-1,3,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 450,0,-1,0,1,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 464,0,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 470,0,-1,1,1,-1,-1,-1,0,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 473,0,-1,0,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,2.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 475,0,-1,1,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,2.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 478,0,-1,1,1,-1,-1,-1,2,2,-1,-1,0,-1,-1,3,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 479,0,-1,0,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 481,0,-1,1,1,-1,-1,-1,0,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 483,0,-1,1,1,-1,-1,-1,2,4,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 486,0,-1,1,1,-1,-1,-1,2,5,-1,-1,3,-1,-1,4,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 502,0,-1,1,0,-1,-1,-1,3,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 506,0,-1,0,1,-1,-1,-1,3,4,-1,-1,3,-1,-1,4,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 507,0,-1,0,0,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,4.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 508,0,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 510,0,-1,1,0,-1,-1,-1,3,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 511,0,-1,1,1,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1 515,0,-1,1,0,-1,-1,-1,2,3,-1,-1,3,-1,-1,3,-1,2.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1 516,0,-1,0,1,-1,-1,-1,2,3,-1,-1,4,-1,-1,2,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1 538,0,-1,0,1,-1,-1,-1,2,2,-1,-1,3,-1,-1,3,-1,3.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1 545,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 550,зачтено,1,-1,1,-1,-1,-1,-1,3,-1,-1,4,-1,-1,2,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 557,зачтено,1,-1,1,-1,-1,-1,-1,3,-1,-1,3,-1,-1,2,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 586,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 595,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 596,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 620,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,3,-1,1.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1 643,зачтено,1,-1,1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,0,-1,2.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1 651,зачтено,1,-1,1,-1,-1,-1,-1,3,-1,-1,2,-1,-1,2,-1,2.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1 694,зачтено,0,-1,0,-1,-1,-1,-1,2,-1,-1,2,-1,-1,2,-1,5.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1 696,не зачтено,1,-1,0,-1,-1,-1,-1,3,-1,-1,3,-1,-1,3,-1,2.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
